Draw Date,Winning Numbers,Mega Ball,Multiplier,Number1,Number2,Number3,Number4,Number5
2021-03-23,12 23 35 38 55,11,2.0,12,23,35,38,55
2021-03-19,09 14 40 58 69,8,3.0,9,14,40,58,69
2021-03-16,10 41 46 52 69,8,2.0,10,41,46,52,69
2021-03-12,02 24 25 31 65,18,4.0,2,24,25,31,65
2021-03-09,04 33 46 58 65,13,2.0,4,33,46,58,65
2021-03-05,10 11 17 27 54,20,2.0,10,11,17,27,54
2021-03-02,04 08 13 34 64,18,2.0,4,8,13,34,64
2021-02-26,11 15 37 62 64,5,2.0,11,15,37,62,64
2021-02-23,05 07 09 20 57,15,3.0,5,7,9,20,57
2021-02-19,27 32 47 50 53,4,4.0,27,32,47,50,53
2021-02-16,01 36 44 54 66,10,3.0,1,36,44,54,66
2021-02-12,05 14 24 25 27,14,3.0,5,14,24,25,27
2021-02-09,07 18 21 31 40,9,4.0,7,18,21,31,40
2021-02-05,14 17 28 29 44,2,4.0,14,17,28,29,44
2021-02-02,13 37 38 40 67,10,2.0,13,37,38,40,67
2021-01-29,04 44 58 59 70,3,3.0,4,44,58,59,70
2021-01-26,29 49 56 66 67,24,3.0,29,49,56,66,67
2021-01-22,04 26 42 50 60,24,2.0,4,26,42,50,60
2021-01-19,10 19 26 28 50,16,2.0,10,19,26,28,50
2021-01-15,03 11 12 38 43,15,4.0,3,11,12,38,43
2021-01-12,12 14 26 28 33,9,2.0,12,14,26,28,33
2021-01-08,03 06 16 18 58,11,2.0,3,6,16,18,58
2021-01-05,20 43 51 55 57,4,2.0,20,43,51,55,57
2021-01-01,08 24 53 68 69,7,5.0,8,24,53,68,69
2020-12-29,01 31 35 48 62,19,3.0,1,31,35,48,62
2020-12-25,17 23 36 69 70,19,2.0,17,23,36,69,70
2020-12-22,29 53 56 59 67,21,2.0,29,53,56,59,67
2020-12-18,07 15 25 51 60,5,3.0,7,15,25,51,60
2020-12-15,01 10 18 20 46,15,2.0,1,10,18,20,46
2020-12-11,19 31 37 55 67,25,4.0,19,31,37,55,67
2020-12-08,15 19 33 39 68,25,3.0,15,19,33,39,68
2020-12-04,03 19 24 44 50,8,3.0,3,19,24,44,50
2020-12-01,07 33 53 61 65,14,2.0,7,33,53,61,65
2020-11-27,04 10 27 35 58,10,2.0,4,10,27,35,58
2020-11-24,09 15 34 61 64,6,2.0,9,15,34,61,64
2020-11-20,26 33 45 61 68,17,3.0,26,33,45,61,68
2020-11-17,08 13 35 46 68,16,3.0,8,13,35,46,68
2020-11-13,06 07 14 28 59,7,2.0,6,7,14,28,59
2020-11-10,23 45 53 58 62,13,5.0,23,45,53,58,62
2020-11-06,18 24 27 34 60,2,2.0,18,24,27,34,60
2020-11-03,07 31 44 45 55,19,3.0,7,31,44,45,55
2020-10-30,14 19 34 39 59,11,2.0,14,19,34,39,59
2020-10-27,06 13 34 46 62,1,3.0,6,13,34,46,62
2020-10-23,18 34 44 60 69,22,2.0,18,34,44,60,69
2020-10-20,46 54 57 58 66,10,3.0,46,54,57,58,66
2020-10-16,27 32 50 52 57,12,5.0,27,32,50,52,57
2020-10-13,11 44 45 46 70,25,2.0,11,44,45,46,70
2020-10-09,05 11 25 27 64,13,2.0,5,11,25,27,64
2020-10-06,15 16 18 39 59,17,3.0,15,16,18,39,59
2020-10-02,09 38 47 49 68,25,2.0,9,38,47,49,68
2020-09-29,14 39 43 44 67,19,3.0,14,39,43,44,67
2020-09-25,20 36 37 48 67,16,2.0,20,36,37,48,67
2020-09-22,36 43 44 55 68,12,4.0,36,43,44,55,68
2020-09-18,26 29 41 52 64,11,3.0,26,29,41,52,64
2020-09-15,25 28 38 59 62,22,4.0,25,28,38,59,62
2020-09-11,03 15 42 48 56,13,2.0,3,15,42,48,56
2020-09-08,07 10 15 31 57,21,2.0,7,10,15,31,57
2020-09-04,19 22 24 28 53,25,3.0,19,22,24,28,53
2020-09-01,15 25 26 38 47,22,4.0,15,25,26,38,47
2020-08-28,03 09 50 53 64,1,3.0,3,9,50,53,64
2020-08-25,08 10 15 17 57,12,3.0,8,10,15,17,57
2020-08-21,11 15 31 42 63,14,2.0,11,15,31,42,63
2020-08-18,04 18 26 27 58,23,4.0,4,18,26,27,58
2020-08-14,03 24 29 42 47,13,2.0,3,24,29,42,47
2020-08-11,08 22 29 43 56,9,4.0,8,22,29,43,56
2020-08-07,04 44 53 64 70,3,2.0,4,44,53,64,70
2020-08-04,02 22 30 42 62,20,3.0,2,22,30,42,62
2020-07-31,12 35 46 48 69,23,2.0,12,35,46,48,69
